	pred_ind	arg_ind	tokenized	label
127	21	7	""" I find it troubling that a candidate for president in our country -- the world 's oldest democracy -- would characterize the military takeover as "" good news , "" Gore said ."	AGENT
128	21	24	""" I find it troubling that a candidate for president in our country -- the world 's oldest democracy -- would characterize the military takeover as "" good news , "" Gore said ."	FORCES
129	32	31	""" I find it troubling that a candidate for president in our country -- the world 's oldest democracy -- would characterize the military takeover as "" good news , "" Gore said ."	AGENT
130	9	7	""" It is very dangerous for this country to condone the overthrow of democratically elected governments , "" said David Leavy , spokesman for the National Security Council ."	AGENT
131	9	11	""" It is very dangerous for this country to condone the overthrow of democratically elected governments , "" said David Leavy , spokesman for the National Security Council ."	FORCES
132	18	20	""" It is very dangerous for this country to condone the overthrow of democratically elected governments , "" said David Leavy , spokesman for the National Security Council ."	AGENT
133	13	12	"Not only did Bush not know who General Pervez Musharraf was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military , then the world 's strongest supporter of the Taliban , would bring "" stability ! """	AGENT
134	16	19	"Not only did Bush not know who General Pervez Musharraf was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military , then the world 's strongest supporter of the Taliban , would bring "" stability ! """	NONE
135	61	34	"Not only did Bush not know who General Pervez Musharraf was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military , then the world 's strongest supporter of the Taliban , would bring "" stability ! """	PATIENT
136	61	63	"Not only did Bush not know who General Pervez Musharraf was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military , then the world 's strongest supporter of the Taliban , would bring "" stability ! """	NONE
137	2	1	Another answer is that Edwards certainly knows far more about foreign affairs now than Bush did then .	NONE
138	1	0	"This is what Edwards ' campaign literature said about his positions : "" Edwards believes that the U.S. must be an active leader to help resolve conflicts , from reducing tensions between India and Pakistan to the peace process in Northern Ireland ."	FORCES
139	14	13	"This is what Edwards ' campaign literature said about his positions : "" Edwards believes that the U.S. must be an active leader to help resolve conflicts , from reducing tensions between India and Pakistan to the peace process in Northern Ireland ."	AGENT
140	25	26	"This is what Edwards ' campaign literature said about his positions : "" Edwards believes that the U.S. must be an active leader to help resolve conflicts , from reducing tensions between India and Pakistan to the peace process in Northern Ireland ."	PATIENT
141	29	30	"This is what Edwards ' campaign literature said about his positions : "" Edwards believes that the U.S. must be an active leader to help resolve conflicts , from reducing tensions between India and Pakistan to the peace process in Northern Ireland ."	PATIENT
142	2	0	It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .	FORCES
143	13	11	It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .	AGENT
144	13	14	It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .	FORCES
145	19	20	It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .	AGENT
146	35	29	It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .	INSTRUMENT
147	35	34	It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .	AGENT
148	6	3	By the late 1990s , Iraq had no nuclear or biological weapons program , and had destroyed its chemical weapons stockpiles .	NONE
149	6	5	By the late 1990s , Iraq had no nuclear or biological weapons program , and had destroyed its chemical weapons stockpiles .	AGENT
150	6	12	By the late 1990s , Iraq had no nuclear or biological weapons program , and had destroyed its chemical weapons stockpiles .	PATIENT
151	16	20	By the late 1990s , Iraq had no nuclear or biological weapons program , and had destroyed its chemical weapons stockpiles .	PATIENT
152	9	1	The bungling of post-war Iraq by the Bush administration created a weak and failed state .	NONE
153	9	14	The bungling of post-war Iraq by the Bush administration created a weak and failed state .	PATIENT
154	2	1	The US chose to ally itself with such groups as the Supreme Council for the Islamic Revolution in Iraq , whose 15,000 - strong Badr Corps paramilitary was trained by the Iranian Revolutionary Guards .	AGENT
155	4	5	The US chose to ally itself with such groups as the Supreme Council for the Islamic Revolution in Iraq , whose 15,000 - strong Badr Corps paramilitary was trained by the Iranian Revolutionary Guards .	AGENT
156	28	26	The US chose to ally itself with such groups as the Supreme Council for the Islamic Revolution in Iraq , whose 15,000 - strong Badr Corps paramilitary was trained by the Iranian Revolutionary Guards .	AGENT
157	3	2	THE DAILY STAR publishes this commentary in agreement with Agence Global	AGENT
158	3	5	THE DAILY STAR publishes this commentary in agreement with Agence Global	FORCES
159	3	7	THE DAILY STAR publishes this commentary in agreement with Agence Global	NONE
160	1	0	Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process	AGENT
161	13	6	Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process	FORCES
162	13	15	Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process	AGENT
163	21	25	Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process	PATIENT
164	2	4	But there are strong hints in the country that a new Indo - Sri Lanka defense deal could be in the making .	FORCES
165	2	7	But there are strong hints in the country that a new Indo - Sri Lanka defense deal could be in the making .	NONE
166	2	1	And that explains the delay in the signing of a formal defense agreement that was at the heart of Sri Lankan President Chandrika Kumaratunga 's four - day visit to India recently .	FORCES
167	2	4	And that explains the delay in the signing of a formal defense agreement that was at the heart of Sri Lankan President Chandrika Kumaratunga 's four - day visit to India recently .	FORCES
168	35	5	According to Professor S D Muni , South Asia expert at the Jawaharal Nehru University , the two - year peace talks between Colombo and the Liberation Tigers of Tamil Eelam ( LTTE ) are stalemated .	NONE
169	35	21	According to Professor S D Muni , South Asia expert at the Jawaharal Nehru University , the two - year peace talks between Colombo and the Liberation Tigers of Tamil Eelam ( LTTE ) are stalemated .	PATIENT
170	5	4	For that reason , he said , Kumaratunga 's government was keen to beef up military preparedness with Indian support .	AGENT
171	13	16	For that reason , he said , Kumaratunga 's government was keen to beef up military preparedness with Indian support .	PATIENT
172	12	14	"And the Tigers look as if they are on the brink of launching another offensive , "" Muni told IPS ."	PATIENT
173	18	17	"And the Tigers look as if they are on the brink of launching another offensive , "" Muni told IPS ."	AGENT
174	18	19	"And the Tigers look as if they are on the brink of launching another offensive , "" Muni told IPS ."	NONE
175	1	0	Colombo held six rounds of talks with the Tigers between September 2002 and March 2003 .	AGENT
176	1	3	Colombo held six rounds of talks with the Tigers between September 2002 and March 2003 .	NONE
177	1	10	Colombo held six rounds of talks with the Tigers between September 2002 and March 2003 .	NONE
178	4	3	Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .	FORCES
179	4	9	Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .	NONE
180	4	22	Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .	MANNER
181	24	27	Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .	PATIENT
182	30	27	Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .	FORCES
183	32	34	Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .	FORCES
184	38	34	Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .	PATIENT
185	38	36	Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .	AGENT
186	1	0	Petersen held discussions with both Kumaratunga and the reclusive LTTE leader Velupillai Prabhakaran in the rebel stronghold of Kilinochchi without success , and chief Tamil rebel negotiator Anton Balasingham and Norwegian envoy Erik Solheim held closed - door talks at the international airport late Saturday in an effort to keep the salvage effort on track , diplomatic sources said .	AGENT
187	1	2	Petersen held discussions with both Kumaratunga and the reclusive LTTE leader Velupillai Prabhakaran in the rebel stronghold of Kilinochchi without success , and chief Tamil rebel negotiator Anton Balasingham and Norwegian envoy Erik Solheim held closed - door talks at the international airport late Saturday in an effort to keep the salvage effort on track , diplomatic sources said .	AGENT
